Section,Chain,Tier,Effect,Old Value,New Value,Notes
PlanetIncome,rocky.primary,-,metal/s,3,3,unchanged
PlanetIncome,rocky.secondary,-,water/s,1.5,1.5,unchanged
PlanetIncome,ocean.primary,-,water/s,3,3,unchanged
PlanetIncome,ocean.secondary,-,gas/s,1.5,1.5,unchanged
PlanetIncome,gas.primary,-,gas/s,3,3,unchanged
PlanetIncome,gas.secondary,-,plasma/s,1.5,1.5,unchanged
PlanetIncome,ice.primary,-,crystal/s,3,3,unchanged
PlanetIncome,ice.secondary,-,water/s,1.5,1.5,unchanged
PlanetIncome,lava.primary,-,plasma/s,3,3,unchanged
PlanetIncome,lava.secondary,-,metal/s,1.5,1.5,unchanged
PlanetIncome,desert.primary,-,silicon/s,3,3,unchanged
PlanetIncome,desert.secondary,-,metal/s,1.5,1.5,unchanged
PlanetIncome,toxic.primary,-,chemical/s,3,3,unchanged
PlanetIncome,toxic.secondary,-,gas/s,1.5,1.5,unchanged
,,,,,,
Constants,SYNERGY_PER_PLANET,-,multiplier,0.20,0.20,kept
Constants,SYSTEM_TIER_BASE,-,multiplier,100,100,kept
Constants,BASE_STORAGE_CAP,-,units,1000,1500,bumped 50% so Phase 3 cost fits at base
Constants,MOON_OUTPOST_INCOME,-,crystal/s,5,5,per chosen moon (was per all moons of all owned planets)
,,,,,,
Formula,droneThroughput,-,formula,(1 + 0.05*N) * cargoMul * speedMul,1 + 0.05*N + cargoAdd + speedAdd,additive instead of multiplicative — kills the ×4900 explosion
,,,,,,
Mining,Metal Refinery / per resource,I,rate-mul,+25%,+10%,reduced
Mining,Metal Refinery / per resource,II,rate-mul,+50%,+20%,reduced
Mining,Metal Refinery / per resource,III,rate-mul,+100%,+30%,reduced
Mining,Metal Refinery / per resource,IV,rate-mul,+200%,+50%,reduced
Mining,Metal Refinery / per resource,V,rate-mul,+400%,+70%,reduced
Mining,Metal Refinery / per resource,VI,rate-mul,+800%,+100%,reduced (max sum +280% = ×3.8 instead of ×16.75)
,,,,,,
Logistics,Refinery,I,global-mul,+10%,+10%,kept tier I juicy
Logistics,Refinery,II,global-mul,+20%,+15%,reduced
Logistics,Refinery,III,global-mul,+40%,+20%,reduced
Logistics,Refinery,IV,global-mul,+80%,+25%,reduced
Logistics,Refinery,V,global-mul,+160%,+30%,reduced
Logistics,Refinery,VI,global-mul,+320%,+40%,reduced (max sum +140%)
,,,,,,
Tech,Industrial Doctrine,I,global-mul,+20%,+10%,reduced
Tech,Industrial Doctrine,II,global-mul,+40%,+15%,reduced
Tech,Industrial Doctrine,III,global-mul,+80%,+20%,reduced
Tech,Industrial Doctrine,IV,global-mul,+150%,+30%,reduced
Tech,Industrial Doctrine,V,global-mul,+300%,+40%,reduced
Tech,Industrial Doctrine,VI,global-mul,+600%,+55%,reduced (max sum +170%; combined globalMul max ×4.1)
,,,,,,
Logistics,Storage Bays,I,storage-mul,+100%,+50%,reduced
Logistics,Storage Bays,II,storage-mul,+200%,+100%,reduced
Logistics,Storage Bays,III,storage-mul,+500%,+200%,reduced
Logistics,Storage Bays,IV,storage-mul,+1200%,+400%,reduced
Logistics,Storage Bays,V,storage-mul,+3000%,+800%,reduced
Logistics,Storage Bays,VI,storage-mul,+8000%,+1600%,reduced
,,,,,,
Tech,Storage Doctrine,I-VI,storage-mul,50/200/1000/5000/25000/100000,50/200/1000/5000/25000/100000,kept (storage = ceiling not multiplier on rate)
,,,,,,
Logistics,Auto-Sort,I,drone-cargo,+20%,+5%,reduced
